fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.01,0.0,0.77,1.42,0.0,0.91,0.57,1.86,0.04,0.17,0.22,0.0,0.05,0.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0,1.867,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.01,0.0,0.68,1.22,0.0,0.61,0.62,1.79,0.0,0.05,0.22,0.01,0.05,0.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,1.9,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.01,0.0,0.6,1.2,0.0,0.38,0.64,1.71,0.0,0.04,0.13,0.01,0.08,0.62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,1.933,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.01,0.0,0.01,0.0,0.51,1.2,0.0,0.24,0.61,1.62,0.0,0.0,0.0,0.01,0.06,0.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,1.9669999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.05,0.0,0.02,0.0,0.56,1.35,0.0,0.3,0.64,1.71,0.0,0.0,0.0,0.0,0.09,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,2.0,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.05,0.0,0.05,0.0,0.56,1.34,0.0,0.29,0.64,1.78,0.0,0.0,0.01,0.0,0.13,0.79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0,2.033,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.06,0.0,0.07,0.0,0.59,1.32,0.0,0.2,0.65,1.82,0.0,0.0,0.06,0.0,0.22,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,2.0669999999999997,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.03,0.0,0.09,0.0,0.54,1.11,0.0,0.07,0.6,1.78,0.0,0.0,0.09,0.0,0.35,0.89,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0,2.1,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.03,0.0,0.1,0.0,0.51,1.08,0.0,0.01,0.56,1.71,0.0,0.0,0.11,0.0,0.45,1.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,2.133,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.07,0.0,0.07,0.0,0.51,1.11,0.0,0.04,0.57,1.58,0.0,0.0,0.07,0.0,0.62,1.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0,2.167,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.07,0.0,0.06,0.0,0.54,1.23,0.0,0.03,0.55,1.49,0.0,0.0,0.05,0.0,0.73,1.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,0,2.2,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.07,0.0,0.06,0.0,0.56,1.17,0.0,0.04,0.6,1.53,0.02,0.0,0.07,0.0,0.79,1.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68,0,2.233,0.98,1,/app/raw_data/subj02_timepoint02.mp4
